0,1,2,3,4,5,6,7,8
PLEKHB1,ID1,RPL12,EIF4G2,TMA7,NAMPT,CD244,PARK7,YPEL5
MT-ND2,POLE4,NGFRAP1,TNFRSF13C,CCDC167,CORO1A,RCN2,DDOST,STOM
HSP90AB1,SCPEP1,BEX2,EVI2B,SEC61B,DOK2,DDIT4,HERPUD1,HMHA1
RGL4,GMFG,NAP1L1,HNRNPK,TMED10,SLC16A3,FLOT1,DDAH2,GABARAPL2
RBL2,RNH1,GNB2L1,RNASET2,KMT2E,CUX1,CHMP2A,POLR2E,HLA-A
COX6C,SDCBP,PSMC5,CD81,CISD3,CD48,TPI1,CCT8,ARF3
ARHGEF1,SEC11A,HLA-C,RRAS2,HMOX2,GNB2,PTPN4,LY86,LCN2
TECR,TMEM219,MIF,ARL4A,CITED2,NDUFA13,SRSF3,SH3BGRL3,SPOCD1
ZFAS1,LRRC25,ABHD14B,RPS25,C1orf21,UNC93B1,RBM8A,HNRNPC,GATA2
CISH,CARS2,ADD3,UQCRH,HNRNPR,NOP10,FKBP11,C11orf31,ATP9A
EEF2,G0S2,MYC,ELOVL5,EOMES,BAX,PDIA6,PSME2,SCN1B
LBH,PSMA7,SRP9,BACE2,SPCS2,PTP4A3,KLF2,GNB2,AC137932.6
PCED1B,GLIPR1,RNASET2,SEP15,CD320,ARL6IP4,HSPA8,AURKAIP1,SMIM5
TXK,DUSP6,ABHD14A,LSM10,SON,RNF13,STOM,IRF7,LGALSL
EIF2S3,C20orf27,PPP1R15A,SYNGR2,LBH,CD300A,SRSF2,TYROBP,ENKUR
SKAP1,HSBP1,HNRNPH3,FAM3C,P4HB,PCGF5,LAT2,C17orf49,TUBA8
TSTD1,COX5B,KLF6,RPS28,PPP1CA,TPM3,CYCS,CCT5,CERS2
BEX4,NDUFA13,CD5,NOTCH2NL,C11orf58,MYD88,SKAP1,SRSF3,CST3
SLC38A1,CLEC7A,IL10RA,RPL22,ARHGAP25,EFHD2,RALY,URM1,TRIM58
PRKCA,MCL1,TXN,CAMK1D,IFITM2,EIF4E2,TMIGD2,LST1,PRKAR2B
FUS,GRINA,NMRK1,GGA2,COX6C,MARCKSL1,C1orf162,TMED2,SMOX
ILF3-AS1,CD302,GYPC,TSTD1,CFLAR,PRDX5,CD47,CD33,CD68
TESPA1,CECR1,PASK,BTLA,SELT,SCIMP,RUNX3,AMICA1,GFI1B
TPR,RPS9,PTGES3,SRSF5,PTGES3,CD79B,IMP3,PSMD4,PCP2
GCC2,PRAM1,KLF2,PRMT1,RP11-222K16.2,RXRA,RAB7L1,GTF3C6,HIST1H2AG
